Date,Maximum_Temp,Minimum_temp,Relative Humidity_AVG,Rain fall_mm,Wind velocity_km/hr,Sunshine_hr
1/1/2017,31,22.5,82.5,0.00,0.89,2.5
1/2/2017,33.5,23,78,0.60,1.39,4.3
1/3/2017,33,22,77.5,0.00,1.57,2.7
1/4/2017,34,20.5,76,11.10,1.97,6.3
1/5/2017,34,21,68,0.00,1.96,9.1
1/6/2017,33.5,19.5,68,0.00,2.01,8.1
1/7/2017,34.5,19,61.5,0.00,2.37,9.6
1/8/2017,34.5,17.5,60.5,0.00,2.07,9.6
1/9/2017,35,17.5,59,0.00,1.72,9.7
1/10/2017,33,20,65.5,0.00,2.12,9.7
1/11/2017,35,19,67,0.00,1.7,9.6
1/12/2017,33.5,19,67.5,0.00,2.4,9.4
1/13/2017,34,16.5,65,0.00,1.79,9.5
1/14/2017,35,17.5,55.5,0.00,1.8,9.4
1/15/2017,35,20.5,60.5,0.00,1.72,9
1/16/2017,34,19.5,73.5,0.00,2.39,6.8
1/17/2017,34,19,67.5,0.00,1.97,8.5
1/18/2017,34,17.5,61.5,0.00,1.73,8.7
1/19/2017,35,19.5,62,0.00,2.32,8.8
1/20/2017,36,23.5,67,2.30,1.96,7.5
1/21/2017,32.5,22,80,0.50,1.88,3.2
1/22/2017,31.5,22.5,74.5,0.00,1.33,0.3
1/23/2017,29.5,22.5,91.5,3.40,0.69,0.5
1/24/2017,32,22.5,83,18.40,1.8,0.6
1/25/2017,29.5,21.5,94,26.30,0.76,1.5
1/26/2017,33.5,23.5,84.5,9.70,1.46,4.7
1/27/2017,27,22,90,13.30,0.6,0.2
1/28/2017,33.5,21.5,71.5,3.00,1.5,8.7
1/29/2017,33.5,22,74,0.00,2.05,9.1
1/30/2017,32,22,88,36.00,2.11,4.4
1/31/2017,34,22,72,0.00,2.01,8.5
2/1/2017,34,20.5,68.5,0.00,1.76,9.9
2/2/2017,34.5,19.5,70.5,0.00,1.26,8.2
2/3/2017,34.5,16,65.5,0.00,1.25,10
2/4/2017,34,18,65,0.00,1.57,9.3
2/5/2017,34,19.5,64,0.00,1.48,10.3
2/6/2017,34,20,66,0.00,1.92,11.2
2/7/2017,33.5,21.5,75.5,0.00,2.04,8.7
2/8/2017,34,20,74,0.00,2.1,8
2/9/2017,33.5,19.5,73.5,0.00,2.07,9.6
2/10/2017,33.5,20.5,75,0.00,1.87,7.9
2/11/2017,35,20,67,0.00,2,9.4
2/12/2017,34.5,17.5,60.5,0.00,1.63,9.8
2/13/2017,34,21,58,0.00,3.16,10.2
2/14/2017,33.5,22.5,88,4.10,2.19,4.5
2/15/2017,33.5,19,66,0.00,4.05,9.3
2/16/2017,34.5,18,63.5,0.00,4.55,10
2/17/2017,33.5,20.5,58,0.00,4.29,10
2/18/2017,33,23,76.5,0.00,2.55,1.9
2/19/2017,33.5,23,84,0.00,1.37,0
2/20/2017,32,21.5,81.5,0.00,2.64,1
2/21/2017,35.5,21,67.5,0.00,2.26,9.6
2/22/2017,34.5,21.5,73.5,0.00,2.15,10.1
2/23/2017,33.5,22,72,0.00,2.24,9
2/24/2017,35.5,20.5,73.5,0.00,1.86,8.4
2/25/2017,30,21.5,84.5,22.10,1.12,1.5
2/26/2017,28,22,88.5,0.40,0.52,0.4
2/27/2017,33.5,22.5,72,0.00,2.37,6
2/28/2017,32,23.5,79.5,3.00,1.97,2.6
3/1/2017,25,22,96,30.40,0.73,0
3/2/2017,33,21.5,75.5,0.00,2.6,6.3
3/3/2017,33.5,22,73.5,0.00,1.81,5.5
3/4/2017,32,20,86.5,23.10,1.07,5.1
3/5/2017,34,23.5,79.5,0.00,2.34,10.3
3/6/2017,35,23,74,1.90,2,8.3
3/7/2017,34,23.5,72.5,0.00,2.38,10
3/8/2017,35,22,67.5,0.00,1.92,10.2
3/9/2017,34.5,23.5,73,0.00,1.61,6.6
3/10/2017,32,23,75.5,2.80,0.83,3.1
3/11/2017,32.5,21.5,86.5,0.40,2.15,6.3
3/12/2017,33.5,22,74,29.00,2.37,8.7
3/13/2017,34.5,22.5,72.5,0.00,2.08,7.5
3/14/2017,34.5,22.5,84.5,2.00,1.5,6.6
3/15/2017,34.5,22,75,13.50,1.97,7.4
3/16/2017,34.5,22.5,78.5,0.00,1.65,6.6
3/17/2017,34.5,21.5,68,0.00,1.58,8.6
3/18/2017,30.5,23.5,68.5,0.00,1.9,8.7
3/19/2017,35.5,23,66.5,0.00,1.94,7.2
3/20/2017,36,22,66.5,0.00,1.89,7.2
3/21/2017,36.5,24,65.5,0.00,1.46,8.3
3/22/2017,35.5,20,64,0.00,1.79,8.2
3/23/2017,36,21,59.5,0.00,1.55,9.2
3/24/2017,35.5,20.5,61.5,0.00,1.95,7.2
3/25/2017,35.5,21,62.5,0.00,2.35,8.5
3/26/2017,35,24,65.5,0.00,1.92,7.3
3/27/2017,34.5,22,68.5,0.00,1.5,3.5
3/28/2017,35.5,23,72,0.00,2.55,7.3
3/29/2017,35.5,22,83,1.90,2.1,6.6
3/30/2017,36,23,67,0.80,1.92,7.3
3/31/2017,35,23.5,75.5,0.00,2.19,6.9
4/1/2017,37,23.5,63.5,0.00,2.33,8.1
4/2/2017,35.5,22.5,73.5,40.30,2.37,7.2
4/3/2017,35,22,78,0.40,1.45,4.8
4/4/2017,35.5,22.5,81,0.00,1.43,5.7
4/5/2017,36,22,70,0.00,1.8,6.7
4/6/2017,36.5,22.5,69.5,0.00,1.7,7.4
4/7/2017,37.5,23,50,0.00,2.35,10.3
4/8/2017,36,23,67,0.00,1.65,7.5
4/9/2017,36.5,23,75,0.00,1.78,7.7
4/10/2017,35,22.5,71,0.00,2.06,7
4/11/2017,35,22.5,78,35.70,1.35,4.2
4/12/2017,34,23,81,0.40,1.5,1.6
4/13/2017,34.5,22.5,82.5,0.00,1.37,3.2
4/14/2017,35.5,23,66,0.00,4.68,8.8
4/15/2017,35.5,22.5,60,0.00,4.89,9.9
4/16/2017,36,24,63.5,0.00,4.23,9.4
4/17/2017,36.5,22.5,59.5,0.00,3.89,10.3
4/18/2017,36.5,22.5,67.5,0.00,2.21,7.6
4/19/2017,36.5,22,64,0.00,1.86,8.3
4/20/2017,37,22,60,0.00,2.35,7.4
4/21/2017,35,22,60.5,0.00,2.26,7.4
4/22/2017,36.5,22,60.5,0.00,2.51,10.4
4/23/2017,36,23,66.5,0.00,1.74,8.3
4/24/2017,36,23,73,0.00,2.21,6.3
4/25/2017,35.5,23,71,0.00,2.25,6.7
4/26/2017,36,24,61.5,0.00,3.08,8.1
4/27/2017,36.5,21.5,59.5,0.00,2.43,8.3
4/28/2017,38,22.5,58.5,0.00,2.04,9.5
4/29/2017,37,22,63.5,23.20,2.62,9.5
4/30/2017,36,23.5,71,0.00,1.8,8.2
5/1/2017,36,23,73.5,0.00,2.52,7.7
5/2/2017,35.5,23,70.5,0.00,2.15,8.1
5/3/2017,35.5,22.5,74.5,54.20,1.6,6.9
5/4/2017,32,23.5,62.5,0.00,1.76,9.6
5/5/2017,34.5,24,68.5,0.00,2.07,8
5/6/2017,32.5,23,81.5,0.00,1.18,2.7
5/7/2017,34.5,23,76,0.00,2.24,8.6
5/8/2017,35,23,82,1.20,1.72,8.9
5/9/2017,35,23,78,3.00,1.3,7
5/10/2017,36,24,72.5,6.20,0.69,7.8
5/11/2017,34.5,24.5,69.5,1.40,2.02,5.4
5/12/2017,35,22.5,86.5,0.40,1.48,5.2
5/13/2017,36,22.5,80,5.20,1.46,6.1
5/14/2017,34.5,24,69.5,0.30,4.98,6.6
5/15/2017,35,24,69,0.00,4.98,8.6
5/16/2017,35,26.5,67,0.00,4.62,10
5/17/2017,35.5,25.5,68,0.00,6.15,9.7
5/18/2017,34,27,78,0.00,7.4,1.3
5/19/2017,35,25,61.5,0.00,4.29,8.8
5/20/2017,35.5,25.5,65.5,0.00,5.32,8.9
5/21/2017,34.5,25,64,0.00,2.43,2.2
5/22/2017,34.5,25.5,66,0.00,3.08,6.3
5/23/2017,33.5,24.5,70.5,0.00,1.95,2
5/24/2017,34,22.5,70,19.80,2.93,2.6
5/25/2017,34,21.5,92,131.40,1.83,2
5/26/2017,29.5,22.5,96,8.20,2.84,2
5/27/2017,33,26,65,0.00,6.06,9.4
5/28/2017,34,26.5,70.5,0.00,8.72,6.1
5/29/2017,33,24,72,15.50,4.67,6.2
5/30/2017,31.5,25,71,0.50,4.38,2.1
5/31/2017,33,25,73.5,0.00,5.05,6
6/1/2017,32,25.5,74,0.00,4.32,1.1
6/2/2017,33,24,74,0.30,7,3.1
6/3/2017,34,22.5,76.5,0.00,7.51,6.7
6/4/2017,33,25,66,0.00,6.8,9.8
6/5/2017,34,25,70.5,0.00,4.3,6.2
6/6/2017,34,25,70,0.30,3.8,8.3
6/7/2017,32,24,71.5,0.00,5.5,2.2
6/8/2017,34.5,23,60.5,0.00,6.7,7.4
6/9/2017,35,22,61,0.00,4,9.3
6/10/2017,34,23.5,63.5,1.60,3.2,8.9
6/11/2017,34.5,23.5,68,0.00,3.4,8.4
6/12/2017,34.5,24,63.5,0.00,4.5,9.6
6/13/2017,35.5,23.5,65.5,0.00,3.5,9.9
6/14/2017,34.5,23.5,73,7.10,2.6,6.6
6/15/2017,31,24,92,11.70,1.4,0.4
6/16/2017,33.5,23.5,74.5,0.00,3.2,7.4
6/17/2017,34.5,23.5,69.5,0.00,3.2,9.7
6/18/2017,35.5,23.5,62.5,0.00,3,8.5
6/19/2017,35,24,69,0.00,2.6,6.1
6/20/2017,34,24,68.5,0.00,3.5,6.3
6/21/2017,35.5,23,65.5,0.00,3,8.1
6/22/2017,34,23,65.5,0.00,3.2,7.2
6/23/2017,34.5,24,76.5,2.40,3.9,8
6/24/2017,30.5,23.5,73.5,0.00,5.4,2
6/25/2017,30.5,24,65.5,0.00,4.2,6.3
6/26/2017,35.5,23.5,82,3.00,4.2,0.9
6/27/2017,34.5,24,77,1.70,7.7,6
6/28/2017,33,24,60.5,0.00,8.8,8
6/29/2017,35,25,57.5,0.00,8.4,10
6/30/2017,34,24,56.5,0.00,9.8,9
7/1/2017,34,24,60,0.00,8.3,8
7/2/2017,34,24,62,0.00,7.33,8
7/3/2017,35,24.5,59,0.00,8.06,8.7
7/4/2017,35,24.5,55,0.00,10.18,9.3
7/5/2017,34.5,24,54.5,0.00,8.7,9.2
7/6/2017,34.5,24,61.5,0.00,10.61,7
7/7/2017,34.5,21.5,64,0.00,9.93,6.7
7/8/2017,35,24,58,0.50,4.64,4.9
7/9/2017,32,23.5,74.5,0.00,4.08,1.3
7/10/2017,34,24,63,0.00,7.38,9.8
7/11/2017,31,24,68,0.00,8.78,2.7
7/12/2017,35.5,22.5,60,0.00,6.46,5.5
7/13/2017,34.5,24,56.5,0.00,7.13,7.1
7/14/2017,35,24,53.5,0.00,6.03,9
7/15/2017,35.5,23,57,0.00,7.33,9.6
7/16/2017,35,24.5,57,0.00,7.18,10
7/17/2017,35,23,59,0.00,5.09,8.9
7/18/2017,34.5,23.5,57,0.00,4.34,6.7
7/19/2017,34.5,23,62.5,0.00,2.34,5.1
7/20/2017,36.5,23.5,60,0.30,4.98,8.8
7/21/2017,35.5,24,57,0.80,9,6.6
7/22/2017,34.5,24.5,63.5,0.00,7.07,7.6
7/23/2017,34,25,62,0.00,6.96,9.9
7/24/2017,36,25,59,0.00,7.68,9.3
7/25/2017,36.5,26,52.5,0.00,5.55,7.8
7/26/2017,36,25,56.5,0.00,7.96,8.2
7/27/2017,36.5,25,65,0.00,8.1,8.1
7/28/2017,35,21,69,0.80,9.76,6.3
7/29/2017,35,23.5,68,0.00,5.39,5.1
7/30/2017,35.5,23,56.5,0.00,7.33,8.8
7/31/2017,36.5,24,63.5,0.10,3.58,7.6
8/1/2017,34,23.5,73,1.60,3.15,6
8/2/2017,35,25,62.5,0.00,6.98,8.7
8/3/2017,34.5,24,61.5,0.00,9.56,8.6
8/4/2017,33.5,24.5,63,0.00,8.03,6.3
8/5/2017,34.5,25,60.5,0.00,7.26,8.3
8/6/2017,33.5,25,37.5,0.00,6.34,5.4
8/7/2017,32.5,25,64,0.20,5.51,0.3
8/8/2017,35.5,23.5,65,0.00,4.63,4.3
8/9/2017,36,24.5,55,0.00,5.28,5.7
8/10/2017,35.5,23,63,0.00,3.38,5.3
8/11/2017,35.5,25,57.5,0.00,9.66,9.2
8/12/2017,36.5,22,62,0.00,4.52,7.1
8/13/2017,37,24.5,58.5,0.00,3.45,6.9
8/14/2017,32.5,21.5,66,0.00,2.04,0.3
8/15/2017,36.5,21,56,0.00,2.34,9.2
8/16/2017,35.5,22,55,0.00,4.61,9.7
8/17/2017,35,23.5,53.5,0.00,5.15,9.4
8/18/2017,32.5,24,75.5,24.00,1.54,2.1
8/19/2017,32.5,22,77.5,0.00,3.1,1.7
8/20/2017,33,25,70,0.20,5.69,4
8/21/2017,34.5,24,57.5,0.50,5.37,9.8
8/22/2017,33,24,71,0.00,6.72,2.5
8/23/2017,35,24.5,60.5,0.00,5.02,7.8
8/24/2017,35,23,65.5,0.00,3.39,6.7
8/25/2017,35.5,25,60,0.00,6.4,9.9
8/26/2017,35.5,24.5,57,0.00,5.62,10.6
8/27/2017,35,23,54.5,0.00,5.78,10.4
8/28/2017,35,24.5,66.5,4.90,4.68,7
8/29/2017,34,25,73.5,0.00,8.06,7.2
8/30/2017,35.5,24,57,0.00,8.18,6.7
8/31/2017,38,24,55.5,0.00,3.77,8
9/1/2017,37,23,55.5,0.00,2.22,6
9/2/2017,34.5,23.5,63,0.50,2.62,7
9/3/2017,32.5,24,67.5,0.00,2.31,0.7
9/4/2017,37.5,23.5,63,1.30,2.22,5.8
9/5/2017,32.5,23,70.5,38.80,4.13,7.6
9/6/2017,34,23.5,57.5,1.70,2.67,7.1
9/7/2017,30.5,24.5,79.5,0.00,2.7,0
9/8/2017,31,24,77.5,0.30,2.45,0.1
9/9/2017,33.5,24,71,0.10,3.11,5.8
9/10/2017,33.5,23.5,69.5,7.70,2.18,8.3
9/11/2017,34,23.5,81.5,0.00,4.08,9.2
9/12/2017,34,24,72,1.50,3.72,7.5
9/13/2017,32,24.5,80.5,38.70,0.391,1.5
9/14/2017,33.5,22.5,65.5,0.00,3.31,4.9
9/15/2017,35,23.5,62,0.00,4.74,10
9/16/2017,33,23.5,69.5,1.40,3.56,5.3
9/17/2017,33,23,90,2.70,3.29,2.2
9/18/2017,33.5,24.5,64.5,0.00,4.59,7.6
9/19/2017,34.5,24,59,0.00,5.06,9.4
9/20/2017,35,23,59.5,0.00,4.15,10.5
9/21/2017,34,22,78,1.00,4.04,7.9
9/22/2017,35,23,56.5,0.00,4.5,10.6
9/23/2017,31.5,22.5,57.5,0.00,3.08,10
9/24/2017,34.5,22,62,0.00,4.13,8.6
9/25/2017,32.5,23.5,71,2.60,2.27,2.7
9/26/2017,33,24,66,27.20,2.38,4.8
9/27/2017,30,23,84.5,1.60,1.79,0.7
9/28/2017,33.5,22.5,66,0.00,3.96,9.1
9/29/2017,34.5,21.5,62,0.00,3.63,10.6
9/30/2017,34.5,23.5,67,0.00,3.83,9.9
10/1/2017,34.5,25,60.5,0.00,5.86,10
10/2/2017,34.5,25,57.5,0.00,6.15,10.4
10/3/2017,35,24,60,0.00,4.93,10.3
10/4/2017,35,24,61,0.00,5.33,8.7
10/5/2017,35,24,64,0.00,3.13,7
10/6/2017,34.5,24,71.5,0.00,5.05,8.4
10/7/2017,34,24,62,0.00,2.86,6.9
10/8/2017,36,24,63.5,0.00,3.58,6.1
10/9/2017,35,23.5,67,0.00,3.81,6.4
10/10/2017,36,23.5,59,0.00,3.67,8.1
10/11/2017,31.5,23,78,0.00,2.46,0.3
10/12/2017,35.5,23.5,66,0.30,2.68,3.9
10/13/2017,33.5,23.5,70,14.30,2.14,3.4
10/14/2017,28.5,23,91.5,16.40,3.95,0.3
10/15/2017,34,24.5,68,6.10,2.79,8.8
10/16/2017,32.5,24.5,65,0.00,6.36,7.3
10/17/2017,34,24.5,62.5,0.00,6.36,9.4
10/18/2017,34,24,61.5,0.40,4.47,6.7
10/19/2017,32,24,70,13.20,2,5.5
10/20/2017,31,22.5,92,23.40,1.11,2.6
10/21/2017,34,27,63,0.00,4.25,9.8
10/22/2017,34,23,68.5,0.00,2.63,10.1
10/23/2017,35.5,22,62.5,0.00,2.65,8.4
10/24/2017,35.5,22,70.5,74.00,1.58,5.5
10/25/2017,35,23.5,78,0.00,1.24,7.6
10/26/2017,34,22,71,0.00,2.54,10
10/27/2017,35,22.5,73.5,33.30,1.67,8.1
10/28/2017,34.5,23.5,75.5,15.80,1.4,7.3
10/29/2017,34,22.5,79.5,0.60,1.22,5.8
10/30/2017,33.5,22.5,83,2.20,1.29,5.7
10/31/2017,32.5,23.5,80,0.00,2.91,2.9
11/1/2017,35,22.5,75,0.70,1.49,5.3
11/2/2017,33,23,80.5,0.00,1.96,4.6
11/3/2017,34,24,73,3.20,1.48,5.4
11/4/2017,34.5,23.5,82.5,0.00,1.2,5.2
11/5/2017,30.5,23.5,86.5,0.20,1.13,0
11/6/2017,33.5,23,81.5,40.00,1.21,2.4
11/7/2017,31,22.5,84,66.60,1.05,0.6
11/8/2017,34,21.5,90,60.60,0.96,2.3
11/9/2017,34.5,22,79.5,24.90,1.34,4.4
11/10/2017,33.5,23.5,79,0.00,3.18,2.1
11/11/2017,35.5,22.5,67,0.00,2.43,7.7
11/12/2017,34.5,22,67,0.00,3.22,7.7
11/13/2017,33.5,21.5,68,0.00,2.66,10.3
11/14/2017,34.5,19.5,56.5,0.00,2.64,9.3
11/15/2017,35,21.5,57,0.00,3.14,10.3
11/16/2017,35.5,20,57,0.00,3.5,10.2
11/17/2017,36.5,23,53.5,0.00,1.55,10.3
11/18/2017,34.5,23.5,85,15.80,1.15,6.5
11/19/2017,34.5,22,81,12.70,1.25,4.7
11/20/2017,33.5,22,88.5,52.90,1.11,5.2
11/21/2017,35,22.5,74.5,0.00,1.45,7.6
11/22/2017,34,22.5,83,0.00,1.05,5.6
11/23/2017,34.5,23,65.5,0.30,1.36,7.5
11/24/2017,31,24,81.5,0.00,0.52,0
11/25/2017,28.5,23,88,2.40,0.83,0
11/26/2017,28,24,90.5,2.70,0.24,0
11/27/2017,30.5,23.5,87,4.40,0.66,0
11/28/2017,29,24,90.5,12.60,0.6,0.1
11/29/2017,26,23,96,102.40,3.2,0
11/30/2017,29,23,96,47.10,0.37,0
12/1/2017,28.5,22.5,93.5,6.80,0.45,0.1
12/2/2017,32,21.5,74.5,0.00,3.59,3.7
12/3/2017,35,23,70.5,12.20,1.52,8.1
12/4/2017,33,21.5,94,53.10,1.43,5.8
12/5/2017,34,23.5,80,0.90,1.13,5.4
12/6/2017,34.5,22,76,12.90,1.33,7.8
12/7/2017,33.5,22.5,78,15.70,1.62,7.5
12/8/2017,33.5,22,79.5,0.00,1.7,8.5
12/9/2017,34.5,23,72.5,0.00,1.34,8.6
12/10/2017,33.5,23.5,75,0.00,1.58,6.5
12/11/2017,34.5,24.5,68,0.00,1.77,8.8
12/12/2017,33,22.5,78,11.30,1.03,2.6
12/13/2017,34,22.5,74,44.20,1.27,7.6
12/14/2017,33,21.5,77.5,0.00,1.2,6.4
12/15/2017,33,23,79,5.80,1.82,5.1
12/16/2017,33.5,20.5,73,0.00,1.24,6.4
12/17/2017,33,19,68,0.00,3.14,10.4
12/18/2017,34,19.5,62.5,0.00,1.22,9.8
12/19/2017,34,24,72.5,3.60,1.65,8
12/20/2017,27,21.5,96,13.70,0.13,0
12/21/2017,31,22.5,77.5,0.00,1.97,5.2
12/22/2017,33,21.5,67,0.00,1.39,7
12/23/2017,33.5,21.5,72,0.00,1.08,6.7
12/24/2017,33.5,21,72,0.30,1.62,6.7
12/25/2017,34.5,22,73.5,22.30,1.25,8.5
12/26/2017,34.5,23,87,0.00,1.41,5.7
12/27/2017,34,21.5,73.5,0.00,1.37,7.2
12/28/2017,32,22,74.5,0.00,1.2,5.5
12/29/2017,33.5,22.5,73,0.00,1.23,5.4
12/30/2017,32.5,22,72,0.00,0.96,2.3
12/31/2017,34,21,72,0.60,1.23,5.2
1/1/2018,34,22.5,78.5,0.00,1.76,
1/2/2018,33,21.5,83,7.10,1.59,
1/3/2018,33,21.5,79.5,0.00,1.63,
1/4/2018,33,20.5,76,0.00,1.7,
1/5/2018,33,18.5,68,0.00,1.22,
1/6/2018,32,17.5,64.5,0.00,1.03,
1/7/2018,33,17.5,61.5,0.00,1.31,
1/8/2018,33,18.5,67,0.00,1.42,
1/9/2018,33,23.5,72.5,0.00,1.18,
1/10/2018,33,22,74.5,0.00,1.58,
1/11/2018,34,21,70.5,0.30,1.46,
1/12/2018,35.5,21.5,65,0.80,2.32,
1/13/2018,34.5,21.5,65,0.00,1.57,
1/14/2018,33.5,21.5,64.5,0.00,2.16,
1/15/2018,34,16.5,63,0.00,1.88,
1/16/2018,33,20,64,0.00,1.79,
1/17/2018,33.5,19,71.5,0.00,1.63,
1/18/2018,33,20,73,0.00,1.26,
1/19/2018,33.5,19.5,70.5,0.00,1.26,
1/20/2018,33.5,20,76.5,0.00,1.8,
1/21/2018,33.5,20,67,0.00,1.8,
1/22/2018,33,20.5,68.5,0.00,1.55,
1/23/2018,33.5,22,72,0.00,1.6,
1/24/2018,34.5,21.5,69,0.00,1.84,
1/25/2018,34.5,22,67,0.00,2.13,
1/26/2018,34,22,66.5,0.00,1.78,
1/27/2018,34,22.5,68.5,7.00,0.92,
1/28/2018,31.5,22,70.5,0.00,0.91,
1/29/2018,34.5,23.5,73.5,3.30,2.18,
1/30/2018,30.4,23,90,3.00,1.21,
1/31/2018,29.5,22,86.5,0.00,1.18,
2/1/2018,35.5,20.5,72.5,0.00,1.74,
2/2/2018,34,21,65.5,0.00,1.47,
2/3/2018,35,21.5,62,0.00,1.83,
2/4/2018,34.5,21,68.5,0.00,2.14,
2/5/2018,35,21.5,67,0.00,2,
2/6/2018,35,21,68.5,0.00,2.15,
2/7/2018,35.5,22,62,1.10,1.32,
2/8/2018,34.5,22,76,2.10,1.39,
2/9/2018,35.5,23,70.5,0.00,1.66,
2/10/2018,35,20.5,65,0.00,1.73,
2/11/2018,34.5,21,63.5,0.00,1.92,
2/12/2018,35,21,64,3.20,1.81,
2/13/2018,35,20,64.5,0.40,1.95,
2/14/2018,34.5,20,66,0.00,2.85,
2/15/2018,35,21.5,61.5,0.00,3.86,
2/16/2018,34,21,64.5,0.00,3.25,
2/17/2018,35,20.5,68,0.00,2.01,
2/18/2018,35,20,65.5,0.00,2.45,
2/19/2018,35.5,20,59,0.00,1.81,
2/20/2018,35,20,50.5,0.00,1.79,
2/21/2018,36,20.5,62.5,0.00,2.76,
2/22/2018,36,20.5,70,0.00,2.6,
2/23/2018,37,21,55.5,0.00,1.82,
2/24/2018,35.5,23,66.5,0.00,2.5,
2/25/2018,33,24,63.5,0.00,2.58,
2/26/2018,36,22,61.5,0.60,2,
2/27/2018,35.5,23,69,1.70,3.3,
2/28/2018,35,22.5,68,16.10,2.45,
3/1/2018,35.5,21.5,62.5,0.00,2.79,
3/2/2018,35,22.5,64.5,0.00,2.2,
3/3/2018,36,22.5,64,28.20,2.08,
3/4/2018,34,22,76,0.90,2.08,
3/5/2018,35.5,23,68.5,87.00,1.9,
3/6/2018,35,21.5,76,77.00,2.27,
3/7/2018,34.5,22.5,75.5,0.00,1.49,
3/8/2018,35,23.5,63.5,0.00,1.43,
3/9/2018,31.5,21.5,78,0.00,2.26,
3/10/2018,30.5,22,80.5,0.90,1.53,
3/11/2018,32,25,76.5,21.90,2.8,
3/12/2018,28,23,88.5,6.00,2.01,
3/13/2018,32.5,22,75,0.00,1.65,
3/14/2018,34,21,76.5,1.10,2.46,
3/15/2018,35,23,67.5,0.00,2.07,
3/16/2018,35,24,70,4.60,2,
3/17/2018,34.5,22,72.5,2.60,1.58,
3/18/2018,35,23,74.5,0.00,2.05,
3/19/2018,35.5,22.5,61.5,0.00,1.78,
3/20/2018,36,23,66,0.00,1.72,
3/21/2018,35,22,72.5,0.00,2,
3/22/2018,36,21.5,57,1.30,2.5,
3/23/2018,35.5,21.5,64.5,0.00,1.85,
3/24/2018,36,20.5,74,0.00,1.64,
3/25/2018,35.5,23,77,0.00,1.81,
3/26/2018,35,23,63.5,0.60,1.89,
3/27/2018,34.5,22,74.5,0.00,1.6,
3/28/2018,36,22,68.5,0.00,1.93,
3/29/2018,35.5,21.5,69,0.00,2.45,
3/30/2018,36,23,71,1.70,2.24,
3/31/2018,36,22.5,64,0.00,1.83,
4/1/2018,36,22,73.5,0.00,2.32,
4/2/2018,35,22,73.5,0.00,2.09,
4/3/2018,35.5,22.5,68,0.00,2,
